timestamp,left_hand_x,left_hand_y,left_hand_z,left_hand_q_x,left_hand_q_y,left_hand_q_z,left_hand_q_w,left_hand_euler_x,left_hand_euler_y,left_hand_euler_z,left_hand_yaw,left_hand_pitch,left_hand_roll,right_hand_x,right_hand_y,right_hand_z,right_hand_q_x,right_hand_q_y,right_hand_q_z,right_hand_q_w,right_hand_euler_x,right_hand_euler_y,right_hand_euler_z,right_hand_yaw,right_hand_pitch,right_hand_roll,left_sword_x,left_sword_y,left_sword_z,right_sword_x,right_sword_y,right_sword_z,head_x,head_y,head_z,head_q_x,head_q_y,head_q_z,head_q_w,head_euler_x,head_euler_y,head_euler_z,head_yaw,head_pitch,head_roll,left_hand_heading_x,left_hand_heading_y,left_hand_heading_z,right_hand_heading_x,right_hand_heading_y,right_hand_heading_z,head_heading_x,head_heading_y,head_heading_z,left_blade_x,left_blade_y,left_blade_z,right_blade_x,right_blade_y,right_blade_z
1721536932010,0.388,-0.392,0.577,-0.046,-0.107,0.285,-0.951,1.6,13.3,326.8,1.567,13.285,-33.577,0.524,-0.189,0.543,0.100,-0.342,0.320,-0.878,332.2,32.5,311.8,-23.166,35.708,-32.454,0.753,-0.647,0.979,1.265,-0.525,0.808,0.151,-0.050,1.091,0.017,-0.101,0.149,-0.984,356.3,11.2,342.5,-3.646,11.176,-16.823,0.814,-0.533,-0.230,0.562,-0.629,-0.537,0.935,-0.296,-0.193,-0.177,0.149,-0.973,-0.664,0.044,-0.747
1721536932023,0.388,-0.391,0.576,-0.037,-0.110,0.286,-0.951,0.4,13.3,326.6,0.401,13.319,-33.482,0.524,-0.189,0.543,0.099,-0.341,0.320,-0.878,332.3,32.4,311.8,-23.137,35.662,-32.483,0.757,-0.639,0.978,1.265,-0.526,0.809,0.151,-0.050,1.092,0.018,-0.099,0.150,-0.984,356.2,10.9,342.3,-3.686,10.943,-17.027,0.813,-0.535,-0.230,0.562,-0.630,-0.536,0.935,-0.299,-0.189,-0.188,0.133,-0.973,-0.663,0.044,-0.747
1721536932037,0.388,-0.391,0.575,-0.023,-0.120,0.290,-0.949,358.5,13.9,325.9,-1.445,13.929,-33.768,0.523,-0.189,0.543,0.100,-0.341,0.320,-0.878,332.2,32.4,311.8,-23.149,35.655,-32.482,0.767,-0.633,0.972,1.264,-0.526,0.809,0.150,-0.051,1.092,0.018,-0.097,0.152,-0.983,356.2,10.7,342.0,-3.754,10.717,-17.258,0.803,-0.545,-0.241,0.562,-0.630,-0.536,0.935,-0.303,-0.186,-0.214,0.113,-0.970,-0.663,0.044,-0.747
1721536932051,0.388,-0.391,0.575,-0.014,-0.120,0.291,-0.949,357.5,13.6,325.6,-2.452,13.645,-33.838,0.523,-0.189,0.543,0.100,-0.341,0.320,-0.878,332.2,32.4,311.8,-23.159,35.643,-32.458,0.769,-0.625,0.974,1.264,-0.525,0.809,0.150,-0.051,1.093,0.019,-0.095,0.154,-0.983,356.1,10.5,341.8,-3.840,10.489,-17.504,0.802,-0.550,-0.236,0.563,-0.630,-0.536,0.934,-0.307,-0.182,-0.219,0.097,-0.971,-0.663,0.043,-0.747
1721536932065,0.387,-0.390,0.575,-0.009,-0.114,0.291,-0.950,357.1,12.8,325.7,-2.851,12.809,-33.691,0.523,-0.189,0.543,0.100,-0.341,0.319,-0.879,332.3,32.4,311.9,-23.134,35.593,-32.425,0.765,-0.618,0.980,1.264,-0.525,0.810,0.150,-0.051,1.093,0.020,-0.094,0.157,-0.983,356.0,10.2,341.5,-3.889,10.263,-17.747,0.805,-0.550,-0.221,0.564,-0.629,-0.535,0.933,-0.311,-0.178,-0.211,0.083,-0.974,-0.663,0.042,-0.748
1721536932079,0.386,-0.390,0.574,-0.013,-0.116,0.289,-0.950,357.5,13.1,325.9,-2.426,13.131,-33.541,0.523,-0.189,0.543,0.100,-0.340,0.319,-0.879,332.3,32.3,312.0,-23.103,35.524,-32.385,0.765,-0.621,0.977,1.264,-0.524,0.811,0.149,-0.051,1.093,0.020,-0.092,0.158,-0.983,356.0,10.0,341.4,-3.926,10.047,-17.952,0.806,-0.546,-0.227,0.565,-0.628,-0.534,0.933,-0.315,-0.174,-0.212,0.091,-0.973,-0.662,0.042,-0.749
1721536932093,0.386,-0.391,0.574,-0.024,-0.115,0.286,-0.951,358.8,13.4,326.4,-1.132,13.429,-33.332,0.523,-0.189,0.543,0.100,-0.340,0.319,-0.879,332.3,32.3,312.0,-23.129,35.527,-32.355,0.763,-0.629,0.975,1.264,-0.523,0.811,0.149,-0.052,1.094,0.020,-0.090,0.160,-0.983,356.0,9.8,341.2,-3.948,9.862,-18.141,0.810,-0.538,-0.232,0.565,-0.628,-0.534,0.933,-0.318,-0.171,-0.205,0.112,-0.972,-0.662,0.041,-0.748
1721536932107,0.385,-0.392,0.574,-0.040,-0.114,0.286,-0.950,0.6,13.9,326.6,0.572,13.902,-33.581,0.522,-0.189,0.543,0.101,-0.341,0.318,-0.879,332.1,32.3,311.9,-23.276,35.621,-32.252,0.757,-0.643,0.971,1.265,-0.522,0.809,0.149,-0.052,1.094,0.020,-0.089,0.161,-0.983,356.0,9.7,341.0,-3.930,9.712,-18.322,0.810,-0.535,-0.240,0.565,-0.628,-0.535,0.932,-0.321,-0.168,-0.195,0.141,-0.971,-0.664,0.039,-0.747
1721536932121,0.385,-0.392,0.573,-0.050,-0.116,0.289,-0.949,1.6,14.4,326.4,1.575,14.389,-34.030,0.522,-0.189,0.542,0.102,-0.342,0.318,-0.879,332.0,32.4,311.9,-23.327,35.670,-32.189,0.754,-0.654,0.967,1.265,-0.521,0.808,0.148,-0.052,1.094,0.020,-0.088,0.163,-0.983,356.0,9.6,340.9,-3.936,9.609,-18.483,0.807,-0.536,-0.248,0.565,-0.628,-0.535,0.931,-0.323,-0.167,-0.191,0.161,-0.968,-0.665,0.038,-0.746
1721536932135,0.385,-0.392,0.574,-0.053,-0.118,0.291,-0.948,1.9,14.7,326.2,1.829,14.697,-34.305,0.522,-0.189,0.542,0.101,-0.341,0.318,-0.879,332.1,32.4,312.0,-23.268,35.640,-32.183,0.754,-0.659,0.964,1.265,-0.521,0.808,0.148,-0.052,1.094,0.020,-0.087,0.164,-0.982,356.0,9.5,340.7,-3.926,9.534,-18.658,0.804,-0.538,-0.254,0.565,-0.628,-0.535,0.931,-0.326,-0.165,-0.192,0.169,-0.967,-0.664,0.039,-0.747
